STOP DATE,"STOP TIME","SENT TO STATE","INCIDENT NUMBER","STOP TYPE DESCRIPTION","GEO CODE","ANONYMOUS HOUSE NUMBER","ADDRESS STREET","CROSS STREET","RACE DESCRIPTION","SEX DESCRIPTION","RESIDENCY CODE","AGE IN YEARS (at time of contact)","PAT-DOWN FRISK CONDUCTED","SEARCH CONDUCTED","CITATION ISSUED","ARREST MADE","REASON FOR STOP - DRUG TRANSACTION","REASON FOR STOP - RADIO BROADCAST CFS","REASON FOR STOP - FITS DESCRIPTION","REASON FOR STOP - CASING","REASON FOR STOP - PROXIMITY","REASON FOR STOP - GANG ENFORCEMENT","REASON FOR STOP - SUSPICIOUS ACTIVITY","REASON FOR STOP - OTHER","FRISK CONDUCTED BY","REASON FOR FRISK - ADMINISTRATIVE","REASON FOR FRISK - VERBAL THREATS","REASON FOR FRISK - CRIMINAL VIOLENT BEHAVIOR","REASON FOR FRISK - VIOLENT BEHAVIOR","REASON FOR FRISK - VIOLENT CRIME","REASON FOR FRISK - SUSPICIOUS BULGE","REASON FOR FRISK - EVASIVE","REASON FOR FRISK - OTHER","PAT-DOWN FRISK LED TO SEARCH BEYOND","SEARCH CONDUCTED BY","REASON FOR SEARCH - ADMINISTRATIVE","REASON FOR SEARCH - DRUGS","REASON FOR SEARCH - HARD OBJECT","REASON FOR SEARCH - FIREARM","REASON FOR SEARCH - OTHER WEAPON","REASON FOR SEARCH - OTHER","CONTRABAND FOUND","CONTRABAND FOUND - DRUGS","CONTRABAND FOUND - DRUG PARAPHERNALIA","CONTRABAND FOUND - ALCOHOL","CONTRABAND FOUND - WEAPON","CONTRABAND FOUND - STOLEN PROPERTY","CONTRABAND FOUND - OTHER","MAPPING ADDRESS"
07/27/2019,"23:44","YES","UF1900879","PEDESTRIAN","54711","100 BLOCK","N VINE ST",,"WHITE","MALE","Y","50","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","REASONABLE SUSPICION","NO","NO","NO","NO","NO","YES","NO","NO","NO","CONSENT","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","100 N VINE ST ,URBANA,IL"
07/25/2019,"21:04","YES","UF1900864","PEDESTRIAN","57514","700 BLOCK","W PENNSYLVANIA AV",,"WHITE","MALE","Y","62","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","CONSENT","NO","NO","NO","NO","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","700 W PENNSYLVANIA AV ,URBANA,IL"
07/25/2019,"21:29","NO","UF1900865","PEDESTRIAN","54611","100 BLOCK","W PARK ST",,"WHITE","FEMALE","N","17","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","100 W PARK ST ,URBANA,IL"
07/25/2019,"21:29","NO","UF1900865","PEDESTRIAN","54611","100 BLOCK","W PARK ST",,"WHITE","FEMALE","Y","44","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","100 W PARK ST ,URBANA,IL"
07/25/2019,"21:29","NO","UF1900865","PEDESTRIAN","54611","100 BLOCK","W PARK ST",,"WHITE","MALE","N","22","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","100 W PARK ST ,URBANA,IL"
07/24/2019,"22:35","YES","UU1903657","PEDESTRIAN","54610","900 BLOCK","W UNIVERSITY AV",,"WHITE","MALE","Y","16","NO","YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","SEARCH INCIDENT TO ARREST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","900 W UNIVERSITY AV ,URBANA,IL"
07/24/2019,"23:06","YES","UU1903659","PEDESTRIAN","54711","200 BLOCK","N BROADWAY AV",,"BLACK OR AFRICAN AMERICAN","MALE","U","55","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","SEARCH INCIDENT TO ARREST","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","200 N BROADWAY AV ,URBANA,IL"
07/23/2019,"11:35","YES","UU1903463","PEDESTRIAN","51808","1900 BLOCK","N LINCOLN AVE",,"BLACK OR AFRICAN AMERICAN","MALE","N","31","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","SEARCH INCIDENT TO ARREST","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","1900 N LINCOLN AVE ,URBANA,IL"
07/23/2019,"11:35","YES","UU1903614","PEDESTRIAN","54702","1200 BLOCK","CUNNINGHAM AV",,"BLACK OR AFRICAN AMERICAN","MALE","N","31","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","SEARCH INCIDENT TO ARREST","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","1200 CUNNINGHAM AV ,URBANA,IL"
07/22/2019,"13:32","YES","UU1903596","PEDESTRIAN","54601","1 BLOCK","EADS ST","MATHEWS AVE N","BLACK OR AFRICAN AMERICAN","MALE","Y","23","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","SEARCH INCIDENT TO ARREST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","1 EADS ST ,URBANA,IL"
